"","date","time","volume","tradingphase"
"379","2020-04-02","12:25:00",118847,"CONTINUOUS"
"380","2020-04-02","12:30:00",146382,"CONTINUOUS"
"381","2020-04-02","12:35:00",279075,"CONTINUOUS"
"382","2020-04-02","12:40:00",417688,"CONTINUOUS"
"383","2020-04-02","12:45:00",405182,"CONTINUOUS"
"384","2020-04-02","12:50:00",349664,"CONTINUOUS"
"385","2020-04-02","12:55:00",655097,"CONTINUOUS"
"386","2020-04-02","13:00:00",451287,"CONTINUOUS"
"387","2020-04-02","13:05:00",405563,"CONTINUOUS"
"388","2020-04-02","13:10:00",747910,"CONTINUOUS"
"389","2020-04-02","13:15:00",353978,"CONTINUOUS"
"390","2020-04-02","13:20:00",273527,"CONTINUOUS"
"391","2020-04-02","13:25:00",404945,"CONTINUOUS"
"392","2020-04-02","13:30:00",634025,"CONTINUOUS"
"393","2020-04-02","13:35:00",390272,"CONTINUOUS"
"394","2020-04-02","13:40:00",343134,"CONTINUOUS"
"395","2020-04-02","13:45:00",450833,"CONTINUOUS"
"396","2020-04-02","13:50:00",724560,"CONTINUOUS"
"397","2020-04-02","13:55:00",372743,"CONTINUOUS"
"398","2020-04-02","14:00:00",606090,"CONTINUOUS"
"399","2020-04-02","14:05:00",401876,"CONTINUOUS"
"400","2020-04-02","14:10:00",746986,"CONTINUOUS"
"401","2020-04-02","14:15:00",1044349,"CONTINUOUS"
"402","2020-04-02","14:20:00",898806,"CONTINUOUS"
"403","2020-04-02","14:25:00",1945185,"CONTINUOUS"
"404","2020-04-02","14:30:00",1864475,"CONTINUOUS"
"405","2020-04-02","14:35:00",1941766,"CONTINUOUS"
"406","2020-04-02","14:40:00",551299,"CONTINUOUS"
"407","2020-04-02","14:45:00",721326,"CONTINUOUS"
"408","2020-04-02","14:50:00",472872,"CONTINUOUS"
"409","2020-04-02","14:55:00",300222,"CONTINUOUS"
"410","2020-04-02","15:00:00",544250,"CONTINUOUS"
"411","2020-04-02","15:05:00",525671,"CONTINUOUS"
"412","2020-04-02","15:10:00",667616,"CONTINUOUS"
"413","2020-04-02","15:15:00",473214,"CONTINUOUS"
"414","2020-04-02","15:20:00",544270,"CONTINUOUS"
"415","2020-04-02","15:25:00",766502,"CONTINUOUS"
"416","2020-04-02","",30391476,"CLOSING AUCTION"
"417","2020-04-03","",696526,"OPENING AUCTION"
"418","2020-04-03","07:00:00",123896,"CONTINUOUS"
"419","2020-04-03","07:05:00",220798,"CONTINUOUS"
"420","2020-04-03","07:10:00",260993,"CONTINUOUS"
"421","2020-04-03","07:15:00",154108,"CONTINUOUS"
"422","2020-04-03","07:20:00",306812,"CONTINUOUS"
"423","2020-04-03","07:25:00",227407,"CONTINUOUS"
"424","2020-04-03","07:30:00",442895,"CONTINUOUS"
"425","2020-04-03","07:35:00",412720,"CONTINUOUS"
"426","2020-04-03","07:40:00",356264,"CONTINUOUS"
"427","2020-04-03","07:45:00",156625,"CONTINUOUS"
"428","2020-04-03","07:50:00",204629,"CONTINUOUS"
"429","2020-04-03","07:55:00",332592,"CONTINUOUS"
"430","2020-04-03","08:00:00",440547,"CONTINUOUS"
"431","2020-04-03","08:05:00",301260,"CONTINUOUS"
"432","2020-04-03","08:10:00",149861,"CONTINUOUS"
"433","2020-04-03","08:15:00",264847,"CONTINUOUS"
"434","2020-04-03","08:20:00",231264,"CONTINUOUS"
"435","2020-04-03","08:25:00",291519,"CONTINUOUS"
"436","2020-04-03","08:30:00",364806,"CONTINUOUS"
"437","2020-04-03","08:35:00",275844,"CONTINUOUS"
"438","2020-04-03","08:40:00",204609,"CONTINUOUS"
"439","2020-04-03","08:45:00",120763,"CONTINUOUS"
"440","2020-04-03","08:50:00",162333,"CONTINUOUS"
"441","2020-04-03","08:55:00",203430,"CONTINUOUS"
"442","2020-04-03","09:00:00",128728,"CONTINUOUS"
"443","2020-04-03","09:05:00",88520,"CONTINUOUS"
"444","2020-04-03","09:10:00",131034,"CONTINUOUS"
"445","2020-04-03","09:15:00",138430,"CONTINUOUS"
"446","2020-04-03","09:20:00",221987,"CONTINUOUS"
"447","2020-04-03","09:25:00",120385,"CONTINUOUS"
"448","2020-04-03","09:30:00",177334,"CONTINUOUS"
"449","2020-04-03","09:35:00",194204,"CONTINUOUS"
"450","2020-04-03","09:40:00",186359,"CONTINUOUS"
"451","2020-04-03","09:45:00",175917,"CONTINUOUS"
"452","2020-04-03","09:50:00",252884,"CONTINUOUS"
"453","2020-04-03","09:55:00",162839,"CONTINUOUS"
"454","2020-04-03","10:00:00",140836,"CONTINUOUS"
"455","2020-04-03","10:05:00",79293,"CONTINUOUS"
"456","2020-04-03","10:10:00",172349,"CONTINUOUS"
"457","2020-04-03","10:15:00",330789,"CONTINUOUS"
"458","2020-04-03","10:20:00",201680,"CONTINUOUS"
"459","2020-04-03","10:25:00",260996,"CONTINUOUS"
"460","2020-04-03","10:30:00",225405,"CONTINUOUS"
"461","2020-04-03","10:35:00",94161,"CONTINUOUS"
"462","2020-04-03","10:40:00",176138,"CONTINUOUS"
"463","2020-04-03","10:45:00",102828,"CONTINUOUS"
"464","2020-04-03","10:50:00",92110,"CONTINUOUS"
